"산업별(1)",산업별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"농림업",소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136352,145430,147407,125255,123357,149002,196903,163077,142630,139484,125703,122194,107292,116934,62346,66441,69773,71551,74860,96543,100243,106821,116974,130130,134420,131131,134420,123838,132847,134420,143715,143715,137280,124410,137566,135135,155870,163020,170170,158730,156585,165880,153725,166595,165880,154440,155155,165165,160160,156585,170170,202345,189475,180895,218075,205920,197340,185185,205920,223795,240240,283140,293865,341055,314600,330330,347490,367510,431860,421135,386815,419705,313885,346060,366080,335335,327470,313170,328185,363220,351780,319605,328185,297440,358930,362505,364650,349635,321035,309595,326755,301730,331045,351780,375375,321750,319605,317460,312455,323180,311740,328185,322465,316030,334620,356785,364650,518412,448785,466328,443599,361096,388716,359388,383245,375147,419212,412943,405492,384365,414357,388603,386639,391531,399373,422034,439192,436028,483397,359398,318996,287153,288480,290960,214870,229593,232311,307426,269057,256074,250444,245101,251100,233048,247992,264863,261940,251749,236869,217291
"광업",소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80440,83931,92450,251624,209477,163765,113231,79681,55357,72761,101908,105892,84504,88907,146571,151394,130006,130006,127489,124973,114069,96456,108198,101279,114279,134199,141748,123925,124554,333578,271591,321436,293958,249225,251781,255615,236444,276065,215356,636666,614034,864698,703215,630005,688499,675719,751553,482012,496439,594636,478923,139471,413585,362624,345995,320783,307909,369061,359406,335267,268213,297717,248634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60323,75374,75374,90082,112832,118922,124667,149945,161435,157413,318273,305634,369978,213254,336772,313677,242324,276198,317015,272333,290574,273468,268038,250189,253369,245293,236880,239408,270942,307124,266865,221295,222143,224712,151743,162209,166273,251182,220597,216215,207494,41282,41282,41282,41282,41282,41282,41282,41282,41282
"제조",소계,10680745,12076225,11317858,10859477,12196572,13607772,14925859,13780943,16121061,16997793,20145972,18539368,18660725,18798279,18569268,18787339,17502281,16827609,16614424,17678607,18701863,18779080,20600630,19987292,19556505,21133772,23632790,25242915,29431531,31624367,33197313,31290027,32024691,31969449,30034951,29413977,25409402,28518479,27759057,28569753,30234208,28162378,26356504,23189467,22683079,15031809,15510291,16942780,19680291,19181155,22327291,27331444,30131683,27161445,28032407,29018107,28030299,28117681,26774188,29010823,28854925,29671684,30830377,31219316,28992000,29327347,29104537,28717681,31958677,34911277,33343322,34741645,36118847,34794718,37144122,37923163,36572626,37501099,42947256,40360458,36157825,38317338,39079139,41026959,41647331,44278741,42420846,39402748,37663860,40689343,38598157,41521185,42192891,40849858,39693453,39787723,40303364,43138502,45623867,44911833,46382155,41853992,46748391,42989814,45432722,45771357,44935031,42838039,44302798,46022486,46781141,49204291,49210643,48627742,48280821,51070226,52370334,51423977,49470590,49719043,53935403,61273421,64465970,72026862,78268852,84946625,80958255,76426592,75678138,78662144,83361983,85414738,89174276,85170383,92334998,94070384,95042696,92108004,96930953,93244607,97036017,90249656,86707915,92115297,88679212,88535790,88662654,91615257,95635180,98657522,96028173,97928415,97822882,105973276,120266734,124959484,151788573,108474995,113806709,117338710,116360998,107332864,102662588,110140064,111213021,86305979,95145649,94630554,99260266,103063217,104913468,106986642,95916682,93857260,86136198,85575475,87879134,95602417,93365369,98471800,94435260
"음식료.담배",소계,978404,1105658,1053794,1057273,1240444,1427549,1598636,1375555,1620999,1600732,1776357,1657598,1644041,1620785,1552186,1533803,1391128,1400825,1337968,1358152,1407076,1338884,1428273,1414961,1405791,1467941,1573433,1686746,1826709,1723974,1989290,1922236,1754184,1561181,1434710,1499659,1420076,1539063,1463766,1450642,1560066,1475482,1362910,1214189,1183315,857707,895977,1007652,1049137,955850,1086105,1388385,1447490,1378322,1371747,1479067,1421466,1462923,1464204,1551445,1438962,1462546,1489300,1598895,1623582,1703474,1580076,1703933,1711388,1813717,1745019,1948797,2105993,1676026,1827946,1774240,1691377,1664139,1784241,1591348,1328118,1480160,1456095,1619155,1596803,1684472,1594703,1493812,1263644,1315435,1225570,1369819,1481692,1506909,1425590,1368169,1473974,1495888,1701304,1945345,1898856,1729635,1660210,1551427,1885734,2015379,2196282,2093721,2135656,2242652,2334610,2302459,2286309,2280126,2375860,2352322,2567581,2407316,2333662,2331132,2424035,2619593,2887849,3138220,3344507,3953887,3575209,3642041,3546569,3668066,3488177,3924737,4080651,3901768,4181530,4301430,4581438,4410443,4291828,4012174,4181261,3989232,3920897,4300219,4127093,3855331,4039357,4275078,4274776,4289912,4006546,3952674,3732228,4162876,4826832,5207639,6082960,5968504,5740776,6305530,6215433,5459496,5029043,5007721,5591806,4615239,4994803,5269148,5628543,5608311,5803457,6189166,5508435,5241707,4700246,4874970,5241103,4805878,4769827,4836880,4691230
"섬유.의류",소계,300344,367682,357951,348283,360548,426803,494137,545481,605752,661114,812379,862510,895195,934834,1021799,1115932,853062,881569,947936,933012,1079682,1055978,1401820,1256435,1144755,1141951,1214311,1157321,1132510,1126150,1184203,1061791,984990,877080,788631,792652,701707,783337,730686,733230,622861,497975,529178,414748,420850,224057,239310,213541,212269,240079,277147,486961,469792,472200,518139,565560,512594,625002,487735,442806,409614,416400,458454,526764,453614,514619,492566,535823,541148,628310,607185,585085,592658,623211,648898,623223,612750,596435,681872,598211,550672,621206,666058,775895,785601,855704,813456,748055,688984,718445,659798,665250,676311,635628,616600,562462,601014,654846,629544,673517,590136,495324,504159,552246,520781,509248,474180,450381,468023,449038,484883,506627,427090,430692,467920,457862,508409,509719,476247,441271,576140,710441,690993,828755,1113762,970102,976700,916813,966337,1152651,973111,1850398,2115374,1681121,3743469,3530098,3421897,1680539,1327410,1168034,1474212,1178824,1191491,1381818,1253790,942710,969087,1005632,1508352,1440916,1351122,1520640,1350258,1352109,1468890,1389779,1587856,1626048,1772030,1995351,1970559,1769861,1854598,1855186,1804041,1647712,1721251,1682824,1812266,1758991,1922878,2057548,1329225,1326753,1230564,1187344,1219698,1238464,1326349,1368734,1552850
"종이.목재",소계,372595,317211,433342,420849,524609,510308,509285,423415,488817,460491,524910,400796,392208,488451,456912,478380,471133,466212,478282,472718,533661,519356,569542,563462,596094,609986,657404,660675,653618,549380,513137,467167,471031,385588,332955,368912,362853,372869,347253,338008,366878,366096,365757,314779,302631,208767,205707,204968,228001,251138,280023,351055,341488,305774,327555,332818,303541,292585,285443,296300,300061,296174,326256,330807,301384,299763,313736,346251,349275,351798,311257,332169,324999,315710,330367,312232,316758,404995,453940,414671,374011,411982,358978,388016,458056,551634,531218,431165,426705,437367,436492,348789,355853,354341,335916,344743,362498,370771,393857,407174,387395,338497,358838,376328,374961,377599,348030,345984,362590,412596,407837,441127,744524,870560,935311,1196678,1218648,1189715,1123538,1089109,1275037,1544582,2231469,2520050,1177250,1187180,1391464,1112654,1153813,1158681,999016,1008386,948535,1047752,1125549,1109135,1050817,1039950,1123618,1000129,1050512,1073571,1074850,1104082,1072332,1046209,1022369,1033690,1042567,1041274,1034739,1034878,1020318,1033280,1066065,1010708,1200095,1217610,1241756,1290668,1297241,1165807,1118385,1193149,1200306,985990,1034124,973289,997284,1010394,1110691,1374651,1339787,1386448,1549727,1618963,1546447,1625884,1704812,1595338,1512275
"출판.매체복제",소계,364116,427164,514650,513301,711897,818683,796538,783058,832593,903131,1042003,1004987,1055393,1048042,974470,927941,772566,704276,642268,629646,782461,819171,981889,976291,864153,835494,854188,970933,1329733,1569476,1475505,1377778,1402800,1401978,1272474,1273776,1216809,1300870,1347250,954630,957889,888416,800901,531057,541599,374777,440594,437240,558335,510987,512650,640139,740068,857675,835833,809785,874640,778922,654179,737382,745540,853999,920056,842289,701261,730794,728206,823668,818714,962040,887810,867876,902006,881103,793355,928883,887394,975701,1165560,1422958,1435261,1630638,1555751,1551117,1676210,1760534,1685918,1577180,740416,806698,740248,828794,902264,826844,739790,799205,775181,814200,837241,878281,926835,835018,827095,764646,725543,835060,811187,775348,827180,831211,960706,1029854,1180000,1161226,1159221,1559781,1361242,1488410,1386005,1517395,1651881,1833837,1692403,1954574,2055952,2640587,2855687,2985883,2596374,2600182,2636019,2736219,2556464,2751379,2603529,2630164,2746762,2620745,2891804,2684861,2815386,2811832,3057449,3420039,3454502,3257610,3534609,3511352,3525686,3768283,3749815,3684338,3844871,4362694,4533082,4615200,5223880,5055331,5114146,4529483,4541706,4366981,4376338,4569911,2015996,1471606,1838710,1818329,1969325,1986252,2162347,2205715,2719293,2864966,2537460,2322041,2318040,2577186,2479957,2562899,2527008
"화학",소계,931732,1214023,1145179,1168593,1299904,1407597,1547937,1466130,1605121,1843040,2297298,2259821,2379527,2370679,2342304,2622154,2421616,2274187,2209525,2386366,2508177,2568984,2949227,2835234,2840273,3045881,3280599,3623365,3807170,3923783,3990165,3774058,3843093,3823551,3893930,3845645,3398887,3540455,3500882,3173236,3385338,3168288,2764661,2436491,3185689,2233735,1566527,1683575,1811517,1768256,2108108,2626246,2723575,2484479,2628095,3032628,2813550,2782955,2643493,2945820,2963810,3065857,3173292,3341227,3118116,3094322,3084495,2931906,3270654,3506890,3317013,3455470,3395488,3400459,3772953,4422531,4219005,4113461,4733918,4532729,3661068,4041636,4154380,4460858,4690168,4889543,4839976,4293707,4022373,4240216,3962334,4281761,4216894,4238016,4263415,4126934,3895501,4124357,4236808,4271299,4343283,3866588,4187238,3975290,4222440,4159378,4262820,4061772,4162757,4353070,4386392,4619393,4620514,4597364,4576520,4750713,4843543,4718698,4590046,4679779,5140667,5628300,6277097,6742003,10421178,10330734,9198105,8224319,8111968,7823459,8201056,8225185,7937869,7324007,8121161,8475662,8321656,8490208,9177736,8859166,9290303,9011265,8886110,9382051,9007115,8827509,8986469,9431623,10024715,10001016,9562290,9632303,9123408,10009882,10909028,10828612,11770508,11104262,11845807,11978641,12162364,11741202,11053110,11505256,11348245,8553052,9397486,9060728,9607804,10342039,10588742,11145889,10478697,10788231,10124613,10498907,10694941,11190037,10912606,11592449,12050796
"제약",소계,1185648,1334399,1218574,1189422,1469806,1863088,2188442,1848103,2469941,2450996,2826107,2234213,2079975,2282932,2140913,1908561,1766126,1745547,1697182,1859370,1855121,1841085,2026620,2008110,1904134,1957572,2080876,2079231,2615506,3091349,3154622,2926986,2858024,2696295,2736225,2750909,2478847,2797381,2970765,3280606,3196917,3013474,2592336,2385752,2337239,1562248,2444731,2863566,3248095,3339864,4301040,5208050,5350495,5173606,5298947,5495397,5190393,5174684,4638031,5079189,5134632,5379285,5535083,5583267,5409117,5623558,5543566,5790866,6374499,6887310,7388415,7774195,8021634,7682373,8285853,8405174,8103009,9259355,11016288,10830030,10344086,10161224,10079730,10585598,10486010,10079465,10021217,9035938,9476679,11303823,10829838,12126511,12020628,11847481,11529320,11632993,11444666,12715895,13357070,11959797,13035934,12137501,15224943,12420736,13216205,13304000,13266519,12407826,13491618,14216052,13660552,14963602,14968292,14264756,13660721,14630420,15901038,15804346,14814267,14944973,16983363,21376176,22438140,26895655,28331566,32678356,31119941,28888418,28121462,30000781,34808399,34390122,38699815,35686205,37953543,37478804,38662819,38606344,39706798,38508331,39038592,35225607,32882526,34783932,32404943,33605863,32597470,34195919,35932779,38567406,37499308,38618504,40994711,46292907,56206764,60039046,78886641,38252608,40714398,40012859,36963445,34785093,32706079,36892075,38550858,28492972,32572295,32992131,32685664,35254491,35208071,34291083,30971362,28922745,26216542,24688720,24948564,26934287,27080346,28858777,27182921
"비금속",소계,441216,467097,474873,428015,290111,337874,364405,348878,392791,411177,573313,462248,521019,542867,576053,507314,545780,472632,423074,464807,458924,456298,517179,483958,456411,460065,504326,560323,656672,916705,1137794,964153,901311,886896,884857,1041144,908299,939851,867052,828074,786048,801422,776008,791362,763081,518663,483002,496971,512242,516253,552010,625048,606834,621960,616609,601871,584161,587508,599465,605955,573504,618241,705785,684432,739342,856761,877318,974313,1170689,1227987,1230492,1278559,1153121,1109726,1324476,1430490,1396558,1447095,1661570,1650150,1493162,1508340,1489831,1643362,1592908,1612220,1386542,1335483,1607230,1650698,1579195,1600406,1591272,1714458,1544462,1522489,1683750,1549190,1593432,1530194,1586444,1498394,1712021,1714822,1592648,1462909,1395241,1411013,1414562,1492472,1508525,1739528,1899456,1924747,1812938,1974766,1870783,1802673,1747241,1749595,1856456,2080125,2272571,2580207,2386760,2365976,2301354,2207487,2205514,2381939,2261225,2162749,1924854,1943433,2100861,2518270,2421395,2303528,2611794,2516971,2526620,2586018,2568000,2682693,2689687,2720634,2852389,2705451,3133289,3169968,3293145,3988589,3567210,3493651,3957954,4204070,4937632,4589805,4810988,4785833,5976204,5260850,5450551,6091228,6977783,6070486,6466866,6117996,6256176,6573116,6057702,5851173,2249440,2315599,2100591,2040664,2129421,2165079,2186491,2320914,2091998
"금속",소계,1459156,1796267,1610552,1518749,1610523,1801080,1990352,1935508,2343690,2472878,2806141,2549995,2570506,2454702,2558768,2702434,2422639,2379299,2509626,2971759,3058306,3357606,3634354,3637288,3510182,3861814,4417027,5181009,6632161,7649078,8237198,8011800,9036105,9783598,8750398,8084893,6451638,7740173,7284406,8386136,9664813,8720452,8289171,7194889,6648032,4278280,4641246,5222283,6650185,5989227,6598634,7905685,9200360,7460052,7641562,7819325,7426402,7765378,7557190,7663729,7537789,7582342,7651684,7507094,6113760,6147796,6258765,5960338,6794467,7013760,6215599,6409104,6422371,5953136,6268794,6258971,6111192,6093713,6931382,6094375,5120978,5694483,5865947,5975490,6275596,7160082,6622331,6189042,5498966,5757954,5426567,5984014,6319908,5976114,5736610,5717398,5616025,5925981,6020237,6120357,6607890,6081162,6373377,6218518,6544374,6452220,6240637,6072640,5782024,5905017,6137143,6084184,5774548,5694066,5762306,5737982,5629230,5290468,5253477,5120266,5133859,5610892,5556427,5831623,5510342,5505964,5355533,5159270,5335726,5520585,5450532,5614930,5401842,5534960,6132760,6446941,6437397,6310639,6632297,6918415,7610847,6991015,6604080,6624020,6349370,6170848,6334258,6444867,6600630,6613574,6228756,6192477,5705547,6005140,6040358,6079507,6889031,6845794,6886110,7620367,7614373,6481089,6148834,6232427,6691095,5313658,5500037,5386127,6210246,5745657,5807576,5858533,5423850,5519730,5032364,5005912,5143794,4944658,4891411,4960940,4913351
"기계.장비",소계,2676332,2892256,2545682,2315697,2672906,2856608,2930953,2599056,2930594,3111502,3580534,3468135,3440460,3540315,3499612,3552596,3706089,3451082,3437287,3706281,3912974,3817242,3990827,3907078,3899038,4269632,5027737,4911762,5429842,5463878,5666802,5250062,5234812,5310630,5088729,5062557,4601313,5233819,5128873,4747140,4938485,4816267,4667782,4201936,3864075,2391970,2395519,2493488,2802214,2946811,3521197,4229754,4996144,4243142,4315206,4433070,4581610,4503036,4192390,4819489,4814605,4743238,5225043,5568700,5153441,5249424,5046099,4728059,5490882,6404277,6009656,6281051,7166235,7347290,7897964,7677850,7308514,6943914,8147056,7353131,6602166,7038405,7632479,7992394,7959677,8800424,8127290,7694797,7604670,7695374,7271686,7250165,7229215,6693451,6422304,6574530,6859309,7442921,7762657,7760324,7389737,6180004,6653541,6329253,6653913,6661875,6201594,5807431,6003131,6153134,6423596,6817078,6444106,6334691,6271923,6407237,6208982,6092157,6208719,6145415,6381238,6839165,7159381,7516756,8405575,8529740,8041033,7986204,8072504,8127328,8274036,8302781,8260036,8433944,8648923,9191583,8814467,8416131,9657410,9319436,9709185,9419871,9269308,10265290,10591299,10442169,10760186,11158573,11884781,11555917,11984487,11816568,11472179,11521553,12366923,12148071,13170200,12814847,12966095,13358969,13145349,12575486,12912290,12812770,12389920,10044462,10693983,10542931,11954495,12054741,12097733,12515918,11645606,11749319,10837921,10914404,11422020,12203627,12018543,13155999,12266030
"일반전기전자",소계,878371,928698,828897,798772,809167,837667,939430,904281,982568,980856,1103576,1077284,1152841,1155610,1110525,1104793,1037599,929448,828699,827606,864233,831226,858160,786345,838337,856726,942340,1073032,1262643,1379659,1407159,1366830,1339490,1166965,1142593,1107728,972824,1121687,1036508,1429225,1291421,1086982,1003643,873736,828912,540960,542986,605915,677930,805405,853744,1080534,1198684,1095191,1185971,1131418,1150552,1122800,1125551,1328063,1477771,1579803,1547011,1541728,1759073,1552013,1555841,1530061,1535123,1670923,1569660,1619162,1579014,1493725,1335311,1313170,1170402,1171286,1196889,1033950,899291,993888,970102,1086395,1136452,1299902,1275760,1180032,1169580,1295615,1244198,1360754,1299353,1221014,1184904,1113376,1223002,1184341,1237333,1282963,1410367,1278901,1299543,1264046,1362148,1485106,1400013,1384363,1384963,1497149,1601746,1719314,1821520,1711231,1601675,1667532,1722602,1776958,1690697,1779476,1949173,2216139,2384404,2644564,2679593,2617348,2835322,2613016,2615771,2810279,2754058,2786100,2632435,2701965,2852026,3031354,3023535,2930593,3259020,3109936,3558471,3384406,3313132,3574314,3513221,3546210,3676045,3698864,3557522,3670205,3332336,3531019,3538656,3674648,4054005,4164244,4648245,4399604,4511983,4824311,5554507,5141410,5219230,5239413,5327043,4339659,5009087,5168194,5671589,5563120,7171633,7355645,6923383,7180803,6961950,7156049,7450008,7596113,7519214,8199070,7761818
"의료.정밀기기",소계,394561,416725,356189,325004,375964,413549,500548,458897,506699,583665,908477,777146,767527,751925,715889,705361,666165,646336,653739,670931,807829,720335,752549,707127,766158,1159193,1509998,1626091,1873595,1700338,1666344,1615546,1710777,1744005,1612598,1474029,1130961,1286152,1202625,1170784,1282329,1264581,1261670,1156926,1015004,724232,695945,711315,748195,746680,876101,1173042,1244439,1285350,1371019,1363488,1295837,1251809,1131899,1320849,1326982,1407069,1393281,1253657,1170102,1118003,1186132,1145326,1226107,1381815,1258482,1333283,1405533,1355106,1412806,1343796,1196782,1222950,1451113,1384570,1077639,1413411,1549097,1743885,1697841,1918301,1829836,1741717,1606716,1746346,1769258,2158652,2378417,2449152,2449265,2365224,2752085,3006764,3390971,3707551,3608297,3121929,3450426,3258353,3416894,3564953,3355784,3183902,3403918,3472574,3647516,3694618,3630307,3722157,3853224,4086846,4358184,4680444,4473148,4690276,5259076,5281550,5234432,5426035,5928668,7098953,6782477,6449878,6424238,6965426,7006612,7610843,8219889,7879917,8010057,8268751,8244322,8138593,8634913,7878349,8137055,7362973,7206732,7697395,7464948,7256082,7128104,7448203,7229289,7300737,7362061,7515510,6993963,7144381,7292766,7789657,8753011,8326172,8845372,8916676,8509767,7972921,7765719,8043880,7878684,6153193,6917243,6564310,6873029,7110076,7417525,8143316,8323204,8525753,7855769,7521416,7565722,7776189,7879151,8222017,8054787
"운송장비.부품",소계,438720,528135,502562,493214,551490,568400,666048,650506,869761,912027,1274626,1245251,1171607,1064924,1048165,1106880,1036844,1059320,1076066,1056492,1107203,1132393,1172265,1104923,1043956,1160857,1259606,1371688,1878351,2187981,2389763,2187596,2136975,2010110,1774873,1796592,1454475,1550836,1576339,1711979,1810816,1681552,1584784,1363140,1316697,899302,750804,780728,950715,928812,1161178,1409631,1560617,1530617,1654633,1705340,1613902,1528873,1732712,1933096,1834492,1959006,2073551,2110186,2137785,2122430,2122483,1947705,2355832,2744186,2493929,2539711,2747786,2649813,2914423,3080392,3222291,3262766,3355377,3112191,2986550,3028881,2996356,2876671,2945894,3307669,3314774,3327485,3120329,3283009,3015928,3088304,3235218,2871669,2939739,3160973,3130297,3368613,3911151,3786342,4014909,3774802,3957696,4056144,4394647,4399330,4434505,4289244,4273255,4425771,4640393,4707472,4800130,4977933,5137022,5544557,5410174,4879710,4607148,4424268,4523452,4716764,4803783,4982438,5804933,5882348,5361424,5184034,5445809,5390343,5560762,5889070,5546337,5410668,5795305,5958016,6260125,6164110,6562974,6323429,6666857,6245623,5771440,5993899,5884393,6003499,5893728,5837473,6152486,6453311,5889228,5709051,5760705,6136276,6740175,6684711,7796854,7448774,8463359,10832713,11539185,9822847,8329810,9967570,10690454,8042682,8251249,8280963,8705194,9198271,8648732,8954129,8046688,7091571,6186495,6879111,7404106,11691129,9775295,9863234,8924393
"기타제조",소계,259552,280909,275612,282304,279204,338567,399149,442075,471736,606185,620250,539385,590426,542214,571672,521189,411536,416875,372775,341467,326216,320521,317926,306080,287223,306661,310945,340739,333021,342616,385332,364025,351100,321572,321978,315481,310712,311986,302652,366063,370346,381392,357703,310462,275955,217111,207943,221536,231455,181793,199354,206915,251699,253077,267091,248339,261650,241208,261896,286699,297163,307725,331581,330271,311423,314391,315253,299432,319899,318266,308805,317185,302011,307042,330978,352211,336594,345288,368050,342144,284824,293083,304335,328123,346114,358791,377825,354335,437569,438363,437045,457967,485866,514780,505539,499228,486061,484735,552260,588690,582071,516237,539305,508006,522434,544299,548239,554413,593123,571751,587242,579035,613845,658191,666180,703530,769916,783364,766397,806087,781026,815856,837019,965984,1108767,1185449,1164004,1056574,1082053,1062424,948981,913219,850176,873264,1066285,1130177,1056066,996181,1053351,945377,976716,969417,961899,905546,866518,861116,868583,868531,768308,785003,734340,731864,718828,783880,803891,798239,841660,825636,893889,887308,870865,789820,698602,729477,746789,575268,748514,773584,888651,857759,916379,1043876,957712,943636,801957,866972,795272,853887,821367,934549,905803
"전기.가스.수도",소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77422,47401,37177,41081,53535,58090,48888,75749,74169,71380,82998,73425,65432,62551,60041,59670,58740,59670,61343,63016,49260,52606,50189,55285,53167,45588,41464,39457,47037,41018,42913,51272,82768,86941,83202,98003,95880,101415,96363,94642,87869,106946,105940,96545,49831,49287,52554,46564,46836,45747,45883,46155,44930,44521,45611,52963,48606,46972,214538,223266,227531,224062,215715,210082,216680,217141,233385,213191,221898,237654,228756,243658,269788,255509,235733,237915,234119,237241,247033,260064,281429,257184,214979,197650,194400,198834,173225,170090,153249,172008,170758,178920,170499,165819,179708,168772,175301,177780,201347,191410,184490,179800,188308,176125,56786,58734,55887,54389,51692,54239,51129,49779,50229,49929,48880,50079,52478,48730,48430,50979,50529,45731,45881,45881,46481,47081,48130,50679,45881,47530,43182,41833,48280,43782,43632,43632,50379
"건설",소계,627967,742032,720757,746709,738014,813211,893664,903958,932010,1144858,1303877,1154658,1194052,1178664,1255250,1379265,1348301,1229036,1225703,1229910,1304278,1343363,1572195,1495685,1446008,1531132,1702492,1902425,2415356,2276838,2460606,2793782,2701452,2624829,2632586,2572521,2284321,2436991,2329318,2246369,2187756,1897449,1875535,1584969,1669517,924044,1013632,1270498,1237242,1174076,1385018,1741640,1841481,1575392,1671416,1763715,1739837,1638646,1606613,1738097,1609169,1550542,1555035,1380548,1303011,1298131,1262674,1340188,1424635,1560299,1411315,1577717,1670358,1513412,1626494,1621904,1563816,1512533,1669668,1475088,1276645,1330598,1300688,1350491,1458123,1650932,1669776,1542674,1631776,1646890,1715849,1754913,1855260,1706032,1656069,1596293,1737391,1658818,1695462,1687363,1751021,1611046,3566525,3587646,3676097,3672030,3598396,3561899,3702778,3854274,3886549,1863357,1964115,2001608,2304282,2558799,2439746,2358924,2235409,2271591,2438499,2754977,2993644,3052542,3302702,3389945,3095932,3452181,3326048,3412374,3477194,3484969,2695169,2631517,2826609,2865027,2787730,2849658,3071795,2937046,3027760,2817462,2764668,2862415,2783016,2797761,2889375,2869812,3059116,2998702,2951310,3056337,2843890,2903352,2838587,2928863,3189209,3144830,3208778,3664252,3724809,3189050,3155247,3148096,3100696,2449362,2715711,2661670,3023865,2912519,2887410,2977148,2962698,3060410,2730707,2649676,2738613,2691633,2810424,2903440,2658616
"유통",소계,1094245,1167446,1371793,1338425,1446160,1751785,2025732,1830326,2212960,2279354,2856817,2975855,2956869,2885401,2790911,2822249,2680988,2567474,2446979,2569469,2635401,2871383,3023656,3074783,2955952,3051890,3111831,3350764,3863303,4022507,4195728,4100772,4288552,4499641,4054934,3904683,3534416,3789208,3766070,3963114,4367441,4162528,4229927,3679624,3424493,2407007,2508639,2659352,2851927,2848998,3044899,3872147,4720553,4160718,4394456,4641245,4667242,4390503,4171743,4424354,4449371,4609886,4641060,4673941,4700531,4840464,4745609,4584859,4711705,5091821,4685152,5018531,5372135,5199923,5473982,5269675,4799360,4853246,5400391,5184394,4707875,5260439,5247742,5732480,5762858,5854950,5892452,5404685,5264060,5695722,5661829,6005736,6406288,6220654,5648575,5848538,5779085,6302219,6593004,7042966,7530879,6809828,7182556,6699845,6807946,6665107,6020290,6306010,6301060,6961179,7155429,7455790,7556476,7673872,8053936,8540410,9443784,9011709,8907018,9028183,9803269,10684207,11497131,13151200,12051006,12830200,14108827,13904544,13334026,13403788,13418746,12678595,12446867,11670083,12148742,12309942,12438013,12139331,8907113,8147568,8550119,7836494,7304471,7593229,7650508,7535121,7469248,7384933,8305826,8325640,14803180,14407943,14863479,15677424,20313262,23022290,27860308,25124408,23374184,22373069,24079261,25082587,22084031,22286996,22517199,16512264,19364301,18373261,18864742,18263771,17888502,19688742,18108078,18453715,16022071,15376334,16598854,17280263,16338703,17051689,17148603
